811c9dc5 
5c745021 Akali_Idle_Glow_Kama
1f5e0125 Akali_Infernal_Body_Mat
022304e7 Akali_Nurse_Body_Mat
11d6d09c Akali_P_Activate
2f2488b4 Akali_P_Activate_Mis
04699e57 Akali_P_Idle
15fb5671 Akali_P_Indicator_Circle_Activate
8821074a Akali_P_Indicator_Circle_Activate_Dust
870a7d55 Akali_P_Indicator_Circle_Activate_Snow
364f4805 Akali_P_Indicator_Circle_Activate_Water
1ca68451 Akali_P_Indicator_Circle_Expired
b5781807 Akali_P_Indicator_Circle_Self_Short
9ebaf66c Akali_P_Swipe_2
bf38fb4e Akali_P_Swipe_Melee
b7b0c148 Akali_P_Tar
a8cbb193 Akali_P_Tar_Close
ebdb41bf Akali_P_VFX_Mis
0af992ac Akali_P_VFX_Mis_Dummy
87449974 Akali_P_WeaponGlow
ef74cc69 Akali_Q_Cas
8d2779a9 Akali_Q_Kunai_Child
a79add6d Akali_Q_Kunai_Child_Snow
c1c4138d Akali_Q_Kunai_Child_Water
88bbd96e Akali_Q_Kunai_Snow
e579d814 Akali_Q_Kunai_Water
61f8f173 Akali_Q_Mis
a794ce17 Akali_Q_Tar
515cdf32 Akali_Q_heal
73f6dae2 Akali_Q_heal_mis
34967edc Akali_R_AfterImage
9de17094 Akali_R_Buff_Indicator
ac017fe4 Akali_R_Cas
15a89dd9 Akali_R_Cas_Dust
4f2a6436 Akali_R_Cas_Snow
252d872c Akali_R_Cas_Water
2d2d9de1 Akali_R_Dash1_Trail
39089170 Akali_R_Dash_Dust
36666fd7 Akali_R_Dash_Snow
cc1a9783 Akali_R_Dash_Water
f3e31136 Akali_R_Tar
c8379cdd Akali_R_Trail
3c19bb61 Akali_Recall
387256bd Akali_Recall_Fire_Breath
3cf01517 Akali_Recall_Smoke_Ground
04c093bb Akali_Recall_Smoke_Vanish
f7b06918 Akali_Sashimi_Body_Mat
8ce41049 Akali_Silverfang_Body_Mat
fcca8e9a Akali_Skin09_Body_Mat
d694d8c5 Akali_Skin09_Recall_Mask_Show
998e14bf Akali_Skin09_Recall_Popstar_Cohesive
2f0accc6 Akali_Skin09_Recall_Smoke_Ground
58eb231b Akali_Skin13_Body_Mat
54cb5f07 Akali_Skin13_Hair_Mat
0b86e21d Akali_Skin14_Idle_Glow
ae301a74 Akali_Skin14_Idle_Glow_Kama
8cb2c3dc Akali_Skin14_Idle_Hair_Glow
2107dca4 Akali_Skin15_DefaultMask_MAT
5a10a9fe Akali_Skin15_MAT
b6560541 Akali_Skin15_MaskOnFace_MAT
ee1a6734 Akali_Skin15_RecallMask_MAT
f7c244f3 Akali_Skin61_Kama_Right_MAT
57baec28 Akali_Skin61_Kama_String_MAT
ccab2996 Akali_Skin61_Kunai_MAT
660e54a4 Akali_Skin61_Shadow_Kama_Right_MAT
62887e33 Akali_Skin61_Shadow_Kunai_MAT
d20cd246 Akali_Stinger_Body_Mat
4bb139c0 Akali_Striker_Body_Mat
a9d5042c Akali_String_MAT
8c2ef257 Akali_W_Cas
92d16e0b Akali_W_GlobalInvisibilityShimmerLong
a16aa5dd Akali_W_InvisibilityEnter
89246975 Akali_W_InvisibilityExit
cdce6fe3 Akali_W_Smoke
dba496f3 Akali_W_Smoke_Ring_Node
19ebecda Alarm
45d1723a Alert_Mask
a9baefeb Alex_present_for_Jay_to_put_audio_on
e4200d97 AlienInvader_Ring1
e5200f2a AlienInvader_Ring2
e62010bd AlienInvader_Ring3
27d00286 Alieninvader_Mega_Alien_Mega_Diffuse
f4e58c24 Alieninvader_Mega_Alien_Mega_Glass
64bd6941 Alistar_BA_tar_01
72e72b7c Alistar_BA_tar_crit_01
d752e9fd Alistar_Conqueror_Mat
2be3f945 Alistar_E_Meditate_01
1e41c909 Alistar_E_ShockwaveImpact
22998922 Alistar_E_StunImpact
e40ac806 Alistar_E_TrampleAOE
3865b244 Alistar_E_stack_1
3b65b6fd Alistar_E_stack_2
3a65b56a Alistar_E_stack_3
3565ad8b Alistar_E_stack_4
3465abf8 Alistar_E_stack_5
c6cd0510 Alistar_E_stack_break
9f76af19 Alistar_Idle_GearSmoke
bd78f4d8 Alistar_Idle_GearSmoke_Child
7fee7088 Alistar_Idle_GemGlows
434beebd Alistar_Moocow_MAT
0753952b Alistar_P_Heal_mis_01
70238b2b Alistar_P_Heal_tar
f0bef8e5 Alistar_Q_cas
3a8b9d8f Alistar_Q_cas_Child_Trail
d07e02de Alistar_R_Glow
bc19e6c0 Alistar_R_cas
97ca4fc5 Alistar_R_cas_child
59619ee9 Alistar_Recall_ChainSnapSparks
eb29e558 Alistar_Recall_Chain_GlowON
ebb74370 Alistar_Recall_ChairHit
a62efa10 Alistar_Recall_GearGlow
ea25b4af Alistar_Recall_GearSparks
c26b3658 Alistar_Recall_Glows
0f2d117e Alistar_Recall_GrabSparks
a80a0f61 Alistar_Recall_HandSparks
6dbb1eee Alistar_Recall_Powered
ad974f93 Alistar_Recall_PullSparks
e8d89b25 Alistar_Skin19_MAT1
29af26a8 Alistar_Skin20_Idle_Eye_Glow
b6a6cca2 Alistar_Skin20_Q_Swipe
5d0e2bc1 Alistar_Skin20_R_cas_child
